bairro,logradouro,venda_itbi_rs_m2,venal_iptu_rs_m2,premio_mercado,n_vendas,n_imoveis_iptu
IPANEMA,RUA ENG TITO MARQUES FERNANDES,3990,2829,1.41,4,82
IPANEMA,AVENIDA SAUL NONNENMACHER,3934,2451,1.61,4,51
IPANEMA,RUA ADAO PINHEIRO DA SILVA,3887,2180,1.78,22,103
IPANEMA,RUA RIMOLO BIAGIO,3814,2276,1.68,4,15
IPANEMA,RUA OTELO ROSA,3763,2744,1.37,15,104
IPANEMA,RUA DEA COUFAL,3739,2797,1.34,83,312
IPANEMA,RUA ENG COELHO PARREIRA,3720,2813,1.32,6,77
IPANEMA,RUA COMENDADOR CASTRO,3680,3123,1.18,13,43
IPANEMA,RUA RODONEL GUATIMOZIM,3585,3527,1.02,4,19
IPANEMA,RUA FERNANDO CUNHA,3542,3594,0.99,5,11
IPANEMA,RUA EDILSON JOAO PROLA,3541,2258,1.57,6,20
IPANEMA,RUA FRANCISCO BORTOLUZZI,3490,2060,1.69,15,62
IPANEMA,RUA LIANE ALVES,3466,2480,1.4,6,14
IPANEMA,RUA LEME,3464,2372,1.46,18,95
IPANEMA,RUA MAMPITUBA,3406,2539,1.34,9,43
IPANEMA,AVENIDA IMPERIAL,3403,3052,1.12,16,67
IPANEMA,RUA DR MIGUEL VIEIRA FERREIRA,3375,2204,1.53,7,25
IPANEMA,RUA LADISLAU NETO,3342,2693,1.24,12,78
IPANEMA,AVENIDA FLAMENGO,3339,3084,1.08,9,58
IPANEMA,RUA ENG JORGE PORTO,3329,2680,1.24,4,76
IPANEMA,RUA BRENO MARTINS,3252,2525,1.29,3,26
IPANEMA,RUA DR DAVID DE AZEVEDO GUSMAO,3181,3357,0.95,6,27
IPANEMA,RUA FERNANDO BORBA,3176,2348,1.35,4,72
IPANEMA,RUA DIONELIO MACHADO,3141,2162,1.45,5,29
IPANEMA,RUA ARMANDO CZAMANSKI,3132,2176,1.44,8,33
IPANEMA,RUA DR FRANCISCO DA CUNHA CORREA,3125,2882,1.08,3,13
IPANEMA,RUA DONA ELVIRA,3109,1588,1.96,11,127
IPANEMA,TRAVESSA ALFREDO MAGALHAES,3090,2020,1.53,4,108
IPANEMA,RUA CAPAO DA CANOA,3075,2350,1.31,7,57
IPANEMA,RUA CARLOS NOBRE (JOSE E VILLALOBOS JR ),3065,1956,1.57,3,18
IPANEMA,RUA ENG RENATO COSTA LEITE,2987,2280,1.31,3,41
IPANEMA,RUA ATLANTIDA,2870,2335,1.23,4,36
IPANEMA,AVENIDA EDUARDO PRADO,2863,2283,1.25,16,119
IPANEMA,RUA GAVEA,2771,2944,0.94,6,84
IPANEMA,RUA DR JOAO PALOMBINI,2749,2241,1.23,3,58
IPANEMA,RUA BENJAMIM MORESCO,2644,2433,1.09,4,30
IPANEMA,RUA DR PITREZ,2604,2139,1.22,23,130
IPANEMA,RUA DR PIO ANGELO,2575,2005,1.28,7,43
IPANEMA,AVENIDA VEREADOR ROBERTO LANDELL DE MOURA,2481,1738,1.43,6,43
IPANEMA,RUA IMERAM TEIXEIRA CABELEIRA,2472,2130,1.16,8,35
IPANEMA,RUA HUBERT OTTO KRAUSE,2454,1396,1.76,4,20
IPANEMA,RUA DR MARINO DOS SANTOS,2402,1480,1.62,5,40
IPANEMA,RUA DR EGYDIO MICHAELSEN,2307,2496,0.92,3,22
IPANEMA,RUA JAIR DE MOURA CALIXTO,2185,2267,0.96,5,35
IPANEMA,RUA MORRO ALTO,1999,1826,1.09,7,77
JAR LEOPOLDINA,RUA POA-CIDADE JOIA,5000,1768,2.83,22,83
JAR LEOPOLDINA,RUA ADA VAZ CABEDA,3986,1664,2.4,121,366
JAR LEOPOLDINA,RUA GERMANO BASLER,3662,1257,2.91,119,305
JAR LEOPOLDINA,RUA TEN ALBERTO MENDES JUNIOR,3568,1632,2.19,3,56
JAR LEOPOLDINA,AVENIDA JUSCELINO KUBITSCHEK DE OLIVEIRA,3401,1435,2.37,310,1161
JAR LEOPOLDINA,RUA JOSE PEREIRA DE BORBA,3281,1569,2.09,3,30
JAR LEOPOLDINA,AVENIDA BALTAZAR DE OLIVEIRA GARCIA,3269,1276,2.56,55,451
JAR LEOPOLDINA,RUA OSWALDO PETERSEN PAIVA,3263,1594,2.05,4,43
JAR LEOPOLDINA,RUA PROF ZILAH TOTTA,3234,2031,1.59,27,140
JAR LEOPOLDINA,RUA LEDO GUIMARAES MARIANTE,3214,1693,1.9,4,74
JAR LEOPOLDINA,RUA SARGENTO SILVIO DELMAR HOLLENBACH,3212,1098,2.93,54,383
JAR LEOPOLDINA,RUA PROF AMY HERVE RAMIREZ,3094,1095,2.83,44,288
JAR LEOPOLDINA,RUA PROF PONTES DE MIRANDA,3073,1113,2.76,18,96
JAR LEOPOLDINA,RUA DR ROMAGUERA DA CUNHA CORREA,3057,1122,2.72,19,154
JAR LEOPOLDINA,RUA MARECHAL FRANCISCO ANTONIO BITENCOURT,3021,1097,2.75,25,160
JAR LEOPOLDINA,RUA GOLDA MEIR,2938,1125,2.61,128,904
JAR LEOPOLDINA,RUA HERMETO BERMUDEZ,2921,1136,2.57,37,229
JAR LEOPOLDINA,RUA JOSE ERNESTO NEDEL,2908,1846,1.58,7,48
JAR LEOPOLDINA,RUA CARLOS ESTEVAO,2826,1175,2.41,366,2048
JAR LEOPOLDINA,RUA DR CARLOS MARIA BINS,2810,1192,2.36,58,269
JAR LEOPOLDINA,RUA LYDIA MOSCHETTI,2769,1337,2.07,11,112
JAR LEOPOLDINA,RUA VICENTE MARSIGLIA FILHO,2745,1926,1.43,3,41
JAR LEOPOLDINA,RUA RUBEN BERTA,2722,1693,1.61,15,97
JAR LEOPOLDINA,RUA DR ARON MENDA,2697,1096,2.46,42,216
JAR LEOPOLDINA,RUA VEREADOR TEREZIO MEIRELES,2672,1823,1.47,9,54
JAR LEOPOLDINA,RUA JANDYR MAYA FAILLACE,2638,1311,2.01,82,547
JAR LEOPOLDINA,RUA DR VARGAS NETO,2625,1108,2.37,97,571
JAR LEOPOLDINA,TRAVESSA GAETANO CELIA,2577,1098,2.35,32,240
JAR LEOPOLDINA,RUA ORLANDO AITA,2490,1313,1.9,18,64
JAR SAO PEDRO,RUA BRITO PEIXOTO,6317,3015,2.1,6,50
JAR SAO PEDRO,RUA FERNANDO ABBOTT,6132,2767,2.22,5,55
JAR SAO PEDRO,RUA RICALDE MARQUES,4565,2194,2.08,8,73
JAR SAO PEDRO,RUA DOS TAPAJOS,4265,1622,2.63,16,124
