bairro,logradouro,venda_itbi_rs_m2,venal_iptu_rs_m2,premio_mercado,n_vendas,n_imoveis_iptu
JARDIM ISABEL,AVENIDA ARLINDO PASQUALINI,3107,3692,0.84,12,86
JARDIM ISABEL,AVENIDA CEL MARCOS,2929,2049,1.43,14,91
JARDIM ITU,RUA FRANCISCO SILVEIRA DIAS FILHO,7177,1625,4.42,89,40
JARDIM ITU,RUA CONCORDE,6793,1891,3.59,90,20
JARDIM ITU,RUA ZEEV JABOTINSKI,6459,3461,1.87,4,57
JARDIM ITU,RUA GOMES DE FREITAS,6388,3297,1.94,12,85
JARDIM ITU,RUA GEN SOLON,6324,2382,2.65,5,57
JARDIM ITU,RUA COPERNICO,5938,2539,2.34,16,82
JARDIM ITU,RUA ANTONIO MANOEL DA ROSA,5740,3758,1.53,4,33
JARDIM ITU,AVENIDA WALTER KAUFMANN,5684,3467,1.64,3,97
JARDIM ITU,AVENIDA KARL IWERS,5656,3385,1.67,292,86
JARDIM ITU,RUA WALIR ZOTTIS,5576,3690,1.51,26,131
JARDIM ITU,RUA JOAO FRANCISCO MARTINS,5427,2110,2.57,50,40
JARDIM ITU,AVENIDA SENADOR DANIEL KRIEGER,5365,2915,1.84,3,29
JARDIM ITU,RUA MAESTRO SALVADOR CAMPANELLA,5326,3713,1.43,31,159
JARDIM ITU,RUA ABILIO MILLER,5281,2333,2.26,5,41
JARDIM ITU,AVENIDA NESTOR VALDMAN,5182,3394,1.53,6,68
JARDIM ITU,RUA LEITE DE CASTRO,5157,2420,2.13,19,110
JARDIM ITU,RUA HENRIQUE SCLIAR,5112,3610,1.42,18,86
JARDIM ITU,RUA LUDWIG JACOB HUBLER,5099,3235,1.58,3,35
JARDIM ITU,RUA CONSELHEIRO ANGELO FERRAZ,5034,1982,2.54,5,50
JARDIM ITU,RUA GASPAR DE LEMOS,5017,1705,2.94,4,48
JARDIM ITU,RUA LUIZ FONTOURA JUNIOR,4975,2712,1.83,42,203
JARDIM ITU,RUA PROF EMILIO KEMP,4910,2770,1.77,50,49
JARDIM ITU,RUA JALMAR AZAMBUJA DINIZ,4877,3157,1.54,33,174
JARDIM ITU,RUA JOAO CARLOS BERTUSSI DA SILVA,4705,2906,1.62,11,47
JARDIM ITU,RUA CHAFIC JOAO SCAF,4614,2943,1.57,5,29
JARDIM ITU,RUA MARINA SIRANGELO CASTELLO,4596,2317,1.98,50,246
JARDIM ITU,RUA ISRAEL WOLF,4580,2191,2.09,5,31
JARDIM ITU,RUA FELISBERTO PEREIRA,4482,2728,1.64,8,96
JARDIM ITU,RUA DR PAULINO GUERRA,4452,2392,1.86,10,112
JARDIM ITU,RUA MADRE BARBARA MAIX,4443,2924,1.52,11,60
JARDIM ITU,RUA HEITOR MANGANELLI,4436,2315,1.92,10,62
JARDIM ITU,RUA LEOPOLDO BETTIOL,4420,2590,1.71,3,44
JARDIM ITU,RUA DONA ADDA MASCARENHAS DE MORAES,4388,2956,1.48,86,417
JARDIM ITU,RUA MENACHEM BEGIN,4334,3462,1.25,4,20
JARDIM ITU,RUA NICOLAU FAILLACE,4256,2474,1.72,30,106
JARDIM ITU,RUA ELIAS BOTHOME,4249,2888,1.47,10,106
JARDIM ITU,RUA CONGONHAS,4236,1547,2.74,24,112
JARDIM ITU,RUA CAPITAO SALUSTIANO DE VARGAS,4197,3187,1.32,7,35
JARDIM ITU,RUA DR EDUARDO MARQUES JUNIOR,4130,1972,2.09,3,26
JARDIM ITU,RUA FERNANDO STREHLAU,4114,2528,1.63,6,49
JARDIM ITU,RUA CONSELHEIRO BRUSQUE,4004,2221,1.8,11,107
JARDIM ITU,RUA RUBENS ROSA GUEDES,3986,1390,2.87,16,98
JARDIM ITU,RUA JOAQUIM G DE CAMPOS NETTO,3903,3494,1.12,7,77
JARDIM ITU,RUA TEN ARY TARRAGO,3806,1759,2.16,271,1338
JARDIM ITU,RUA DR DERLY MONTEIRO,3738,1141,3.28,27,245
JARDIM ITU,RUA CRUZ JOBIM,3733,2110,1.77,7,82
JARDIM ITU,RUA PROF LEOPOLDO TIETBOHL,3727,2502,1.49,6,56
JARDIM ITU,RUA CEL JOAO PACHECO DE FREITAS,3715,1769,2.1,4,47
JARDIM ITU,RUA MARACAIBO,3705,1617,2.29,11,80
JARDIM ITU,AVENIDA PROF PAULA SOARES,3703,2824,1.31,9,248
JARDIM ITU,RUA PROF ISIDORO LA PORTA,3695,2845,1.3,4,34
JARDIM ITU,RUA ARNALDO BALLVE,3683,2173,1.69,12,151
JARDIM ITU,RUA VITORIO FRANCISCO GIORDANI,3607,1728,2.09,5,31
JARDIM ITU,RUA AQUARIO,3593,2017,1.78,4,10
JARDIM ITU,AVENIDA ALEXANDRE LUIZ,3562,2213,1.61,17,65
JARDIM ITU,AVENIDA BISPO JOAO SCALABRINI,3551,1909,1.86,27,171
JARDIM ITU,RUA LOPES TEIXEIRA,3529,2403,1.47,4,52
JARDIM ITU,RUA NILTON WALDEMAR STOCK,3515,2357,1.49,5,22
JARDIM ITU,RUA DR GALDINO NUNES VIEIRA,3487,2213,1.58,10,87
JARDIM ITU,RUA DES ALMIRO CAUDURO,3419,2251,1.52,3,29
JARDIM ITU,RUA ELIZIO ABATE CRIVELLA,3404,2096,1.62,6,45
JARDIM ITU,RUA SORBONE,3364,3218,1.05,3,12
JARDIM ITU,RUA PAUL HARRIS,3225,2541,1.27,13,122
JARDIM ITU,RUA ALFREDO MIRANDA OBINO,3034,2700,1.12,8,56
JARDIM ITU,RUA HENRIQUE LOPES DOS SANTOS,2944,1949,1.51,3,23
JARDIM ITU,RUA GUADALAJARA,2807,1893,1.48,3,21
JARDIM ITU,RUA PAULO BLASCHKE,2747,2306,1.19,11,68
JARDIM ITU,AVENIDA ANTUNES RIBAS,2045,2214,0.92,9,113
JARDIM ITU,RUA DANTE POGGETTI,1728,2139,0.81,4,41
JARDIM LINDOIA,RUA EMILIO MULLER,10884,3856,2.82,100,136
JARDIM LINDOIA,TRAVESSA GUIANAS,7542,4650,1.62,3,34
JARDIM LINDOIA,RUA LUIZ SIEGMANN,7205,3466,2.08,41,240
JARDIM LINDOIA,AVENIDA GUADALUPE,6739,4660,1.45,128,321
JARDIM LINDOIA,RUA MAURO GUEDES DE OLIVEIRA,6455,3776,1.71,66,360
JARDIM LINDOIA,AVENIDA QUITO,6455,4018,1.61,11,76
JARDIM LINDOIA,TRAVESSA COLONIA,6120,3827,1.6,7,45
JARDIM LINDOIA,RUA ASSUNCAO,5267,3486,1.51,33,192
JARDIM LINDOIA,TRAVESSA JAVA,5149,3879,1.33,4,53
JARDIM LINDOIA,TRAVESSA BERMUDAS,5112,3490,1.46,4,26
JARDIM LINDOIA,AVENIDA PANAMERICANA,4949,3247,1.52,138,872
JARDIM LINDOIA,RUA RODOLFO SIMCH,4902,3556,1.38,20,137
JARDIM LINDOIA,RUA GUATEMALA,4880,2680,1.82,4,40
JARDIM LINDOIA,RUA SANTA TECLA,4795,3670,1.31,12,96
JARDIM LINDOIA,AVENIDA MONTREAL,4686,4235,1.11,6,69
JARDIM LINDOIA,TRAVESSA BORNEO,4665,3897,1.2,17,29
JARDIM LINDOIA,RUA CARACAS,4597,4554,1.01,9,69
JARDIM LINDOIA,RUA COSTA RICA,4497,3206,1.4,9,86
JARDIM LINDOIA,RUA TRUJILO,4379,4090,1.07,5,29
JARDIM LINDOIA,AVENIDA BOGOTA,4163,3075,1.35,13,74
JARDIM LINDOIA,RUA FILIPINAS,4096,4125,0.99,12,70
JARDIM LINDOIA,RUA ALIANCA,3870,1839,2.1,12,94
JARDIM LINDOIA,AVENIDA DR WALTER SO JOBIM,3669,3194,1.15,16,119
JARDIM LINDOIA,TRAVESSA PORTO PRINCIPE,3608,4274,0.84,4,20
JARDIM LINDOIA,RUA OURO PRETO,3604,2114,1.7,24,154
JARDIM LINDOIA,RUA MANAGUA,3556,4085,0.87,4,27
JARDIM LINDOIA,AVENIDA LA PAZ,3550,4429,0.8,4,26
JARDIM LINDOIA,RUA LASAR SEGALL,3088,1950,1.58,82,372
JARDIM LINDOIA,RUA PRESIDENTE JUAREZ,3007,1941,1.55,8,42
JARDIM SABARA,RUA ERNESTO PELLANDA,7332,2466,2.97,22,35
JARDIM SABARA,ACESSO MARCELINO BARSKI,7143,1685,4.24,3,101
JARDIM SABARA,RUA HERCULANO CARNEIRO PINTO,7093,2769,2.56,28,200
JARDIM SABARA,RUA JOSE LEONARDI,6290,1914,3.29,6,33
JARDIM SABARA,RUA JOAO ERNESTO SCHMIDT,6182,2252,2.75,30,155
JARDIM SABARA,RUA DR CARLOS RENATO R FONSECA,6128,3061,2.0,86,406
JARDIM SABARA,RUA VINTE QUATRO DE AGOSTO,5507,1978,2.78,9,54
JARDIM SABARA,ACESSO JOSE DA SILVA BERNARDO,4859,1678,2.9,4,44
JARDIM SABARA,RUA MANOEL LOPES MEIRELLES,4701,2115,2.22,7,92
JARDIM SABARA,RUA CLAUDIO MANOEL DA COSTA,4319,1972,2.19,13,61
JARDIM SABARA,AVENIDA ALBERTO PASQUALINI,4055,2114,1.92,17,198
JARDIM SABARA,RUA GUADALAJARA,3960,1860,2.13,14,156
JARDIM SABARA,RUA PLATAO,3824,2105,1.82,4,115
JARDIM SABARA,RUA MANOEL BANDEIRA,3796,1942,1.95,10,104
JARDIM SABARA,RUA TEN ARY TARRAGO,3569,1749,2.04,77,646
JARDIM SABARA,RUA PEDRO A A DE FREITAS FILHO,3471,1975,1.76,4,41
JARDIM SABARA,BECO DO FRANKLIN,3459,1328,2.6,53,347
JARDIM SABARA,RUA DR OTAVIO SANTOS,3335,1820,1.83,174,1056
JARDIM SABARA,RUA ARACY FROES,3250,1814,1.79,50,289
JARDIM SABARA,RUA FRANCELICIO PORTO,3104,1933,1.61,4,56
JARDIM SABARA,ACESSO JOSE MARCELINO MARTINS,3059,1613,1.9,7,65
JARDIM SABARA,RUA CRISTO REI,3045,2130,1.43,4,25
JARDIM SABARA,RUA IVAN IGLESIAS,2992,1644,1.82,5,61
JARDIM SABARA,RUA JOAO ALFREDO MELLO,2791,2081,1.34,3,22
JARDIM SABARA,RUA VITAL BRASIL,2674,1938,1.38,7,33
JARDIM SABARA,RUA ALUIZIO DE AZEVEDO,2293,2110,1.09,4,23
JARDIM SABARA,RUA JENOR CARDOSO JARROS,2207,2010,1.1,6,47
JARDIM SABARA,RUA IRMAO INOCENCIO LUIS,2143,2093,1.02,3,88
JARDIM SABARA,RUA JACOB WECHSLER,2106,2172,0.97,4,9
JARDIM SABARA,RUA OSMAR AMARO DE FREITAS,2094,1936,1.08,3,29
LOMBA PINHEIRO,RUA ANTONIO PEDRO COSTA,5784,1854,3.12,9,12
LOMBA PINHEIRO,RUA DOLORES DURAN,5710,2052,2.78,273,530
LOMBA PINHEIRO,AVENIDA BENTO GONCALVES,5701,2706,2.11,203,132
LOMBA PINHEIRO,RUA DEROCY PERES DA PALMA,5449,1874,2.91,4,23
LOMBA PINHEIRO,RUA ORESTES GARCIA ANTONELLI,5256,1990,2.64,4,16
LOMBA PINHEIRO,RUA DR ITO BRANDAO,5112,2014,2.54,6,12
LOMBA PINHEIRO,RUA RUI BIRIVA,4467,2014,2.22,7,16
LOMBA PINHEIRO,RUA TOCANTINS,4435,2077,2.14,31,220
LOMBA PINHEIRO,RUA ROCCO BRUNO,4403,2014,2.19,18,15
LOMBA PINHEIRO,ESTRADA JOAO DE OLIVEIRA REMIAO,4396,1472,2.99,674,1798
LOMBA PINHEIRO,RUA SERGIO IGLESIAS BARCELLOS,4084,1926,2.12,10,17
LOMBA PINHEIRO,RUA JOSE ELIAS FLORES,4071,1926,2.11,65,91
LOMBA PINHEIRO,RUA CHACARA DAS NASCENTES,4035,1857,2.17,55,109
LOMBA PINHEIRO,RUA ANTONIO ROSITO,4028,1872,2.15,51,35
LOMBA PINHEIRO,RUA NUNZIATO BRUNO,4028,1857,2.17,37,24
LOMBA PINHEIRO,RUA WALTER EMILIO SCHNEIDER,3981,1956,2.04,4,11
LOMBA PINHEIRO,RUA MARTIM ARANHA FILHO,3916,1938,2.02,5,30
LOMBA PINHEIRO,RUA LEO ANTAO RIGON,3913,1862,2.1,4,5
LOMBA PINHEIRO,RUA TALITA DA CUNHA CHAVES,3247,2227,1.46,12,52
LOMBA PINHEIRO,RUA NADJA MARIA DE PAULA,3197,1938,1.65,3,20
LOMBA PINHEIRO,ESTRADA JOAO ANTONIO SILVEIRA,2996,1523,1.97,114,222
LOMBA PINHEIRO,RUA SANTO AMARO-LOMBA DO PINHEIRO,2982,1392,2.14,3,33
LOMBA PINHEIRO,RUA SOL NASCENTE,2886,1554,1.86,5,39
LOMBA PINHEIRO,AVENIDA JOAO ANTONIO LOPES,2660,1027,2.59,5,67
LOMBA PINHEIRO,RUA DOS COLIBRIS,2312,1778,1.3,6,32
LOMBA PINHEIRO,RUA ALVORADA,2208,1532,1.44,4,37
MARIO QUINTANA,AVENIDA PROTASIO ALVES,5005,1699,2.95,674,1195
MARIO QUINTANA,RUA MARIA ONOFRINA MENDONCA TORRES,4874,2056,2.37,4,14
MARIO QUINTANA,AVENIDA ARROIO FEIJO,4775,1080,4.42,14,149
MARIO QUINTANA,RUA VICTOR OSORIO MARONA,4714,2073,2.27,4,21
MARIO QUINTANA,RUA ANGELO RAPHAEL FRIZZO,4686,1798,2.61,4,31
MARIO QUINTANA,RUA JOAO BAPTISTA TEDESCO,4584,1813,2.53,3,9
MARIO QUINTANA,RUA MADRE CLARA,4496,1996,2.25,15,62
MARIO QUINTANA,RUA SILVINO NEDEL,4478,1803,2.48,5,32
MARIO QUINTANA,AVENIDA MANOEL ELIAS,4248,2629,1.62,86,429
MARIO QUINTANA,RUA ANTONIO CARLOS PEREIRA DE SOUZA,4228,1881,2.25,5,22
MARIO QUINTANA,RUA DEZENOVE DE FEVEREIRO,4121,1573,2.62,21,211
MARIO QUINTANA,RUA DR VARGAS NETO,4084,2025,2.02,3,6
MARIO QUINTANA,RUA WALTER PORTO FILHO,4008,1798,2.23,12,55
MARIO QUINTANA,RUA DEODORO,3935,1486,2.65,67,359
MARIO QUINTANA,AVENIDA MARTIM FELIX BERTA,3899,1506,2.59,74,504
MARIO QUINTANA,RUA ERNY LUDWIG,3864,1864,2.07,6,23
MARIO QUINTANA,RUA VERDES CAMPOS,3775,1873,2.02,16,49
MARIO QUINTANA,RUA ANA ABRUZZI,3613,1792,2.02,12,44
MARIO QUINTANA,RUA DONARIO NEVES DA SILVEIRA,3607,1807,2.0,4,22
MARIO QUINTANA,RUA ANTONIO LORY MULLER,3589,1895,1.89,8,31
MARIO QUINTANA,RUA WILMA PERPETUO,3550,1822,1.95,8,14
MARIO QUINTANA,RUA JOAO LAURO KLIEMANN,3500,1615,2.17,3,22
MARIO QUINTANA,RUA RONALDO MOLINA DE QUADROS,3475,1913,1.82,3,23
MARIO QUINTANA,RUA IRMA TERESILDA STEFFEN,3435,1574,2.18,238,663
MARIO QUINTANA,RUA LIBORIO KUMMER,3400,1807,1.88,5,25
MARIO QUINTANA,RUA ALBERTO JERONIMO GUERRA,3297,2183,1.51,26,68
MARIO QUINTANA,RUA VINTE SEIS DE MARCO,3275,974,3.36,66,226
MARIO QUINTANA,RUA JOSE DE BARROS ASSIS,3112,1576,1.97,6,5
MARIO QUINTANA,RUA ANTONIO DELAPIEVE,3010,1685,1.79,8,24
MARIO QUINTANA,RUA SEIS DE NOVEMBRO,2732,975,2.8,26,294
MARIO QUINTANA,RUA VICENZA,2470,1572,1.57,8,33
MARIO QUINTANA,RUA ADAO GREGORY,2055,1588,1.29,16,75
MARIO QUINTANA,RUA GAETANO SANTAGADA,2040,1679,1.22,5,23
MARIO QUINTANA,RUA ALCEU ROSA DA SILVA,2000,1853,1.08,5,63
MARIO QUINTANA,RUA IRMAO ANTONIO CECCHIN,1969,1077,1.83,13,194
MEDIANEIRA,RUA JOSE DE ALENCAR,8178,2158,3.79,82,224
MEDIANEIRA,AVENIDA PROF OSCAR PEREIRA,7990,2277,3.51,45,136
MEDIANEIRA,RUA FONSECA RAMOS,4932,2608,1.89,16,113
MEDIANEIRA,RUA MARIANO DE MATOS,4908,3896,1.26,87,266
MEDIANEIRA,RUA TEIXEIRA DE CARVALHO,4419,3257,1.36,11,71
MEDIANEIRA,TRAVESSA ALFREDO COSTA,4315,2636,1.64,5,58
MEDIANEIRA,RUA TIJUCA,4151,1866,2.22,6,96
MEDIANEIRA,AVENIDA SILVA PAES,3945,2363,1.67,8,41
MEDIANEIRA,AVENIDA GEN GOMES CARNEIRO,3836,2053,1.87,22,142
MEDIANEIRA,TRAVESSA DR MARCHAND,3782,1742,2.17,7,41
MEDIANEIRA,AVENIDA CEL GASTAO HASLOCHER MAZERON,3779,2525,1.5,23,238
MEDIANEIRA,RUA CATUMBI,3622,2208,1.64,3,27
MEDIANEIRA,RUA EURICO LARA,3616,1725,2.1,101,692
MEDIANEIRA,AVENIDA DR CARLOS BARBOSA,3562,2168,1.64,28,160
MEDIANEIRA,RUA CUIABA,3529,2270,1.55,6,70
MEDIANEIRA,TRAVESSA MIGUEL PEREIRA,3448,2146,1.61,4,32
MEDIANEIRA,RUA LINDOLFO COLOR,3443,1837,1.87,5,32
MEDIANEIRA,RUA DR AURELIO PY,3419,1649,2.07,3,26
MEDIANEIRA,RUA OSCAR SCHNEIDER,3377,1836,1.84,39,202
MEDIANEIRA,RUA CEZIMBRA JAQUES,3329,1935,1.72,4,29
MEDIANEIRA,RUA CATAO COELHO,3303,1859,1.78,12,47
MEDIANEIRA,RUA DR DIAS DA CRUZ,3158,2056,1.54,6,71
MEDIANEIRA,AVENIDA NITEROI,3117,1625,1.92,28,232
MEDIANEIRA,RUA NUNES,3116,1568,1.99,30,122
MEDIANEIRA,TRAVESSA IGAI,2932,1435,2.04,3,19
MEDIANEIRA,RUA FONSECA GUIMARAES,2914,3130,0.93,3,24
MEDIANEIRA,RUA SAUDAVEL,2842,1934,1.47,3,57
MEDIANEIRA,TRAVESSA LUCAS DE LIMA,2553,2366,1.08,3,30
MEDIANEIRA,RUA CEL NEVES,2304,1970,1.17,10,138
MEDIANEIRA,RUA AGUAS MORTAS,2044,2180,0.94,9,34
MEDIANEIRA,RUA DE SOUZA JUNIOR,1978,3209,0.62,3,23
MEDIANEIRA,RUA CAIEIRA,1846,2391,0.77,4,57
MEDIANEIRA,RUA CALDRE E FIAO,1745,1946,0.9,3,41
MENINO DEUS,AVENIDA PRAIA DE BELAS,12990,8170,1.59,207,391
MENINO DEUS,RUA ALMIRANTE GONCALVES,11595,4252,2.73,115,319
MENINO DEUS,RUA DONA AUGUSTA,9477,4661,2.03,101,555
MENINO DEUS,RUA COSTA,9350,4179,2.24,95,386
MENINO DEUS,TRAVESSA DIRCEU,9031,3620,2.49,22,72
MENINO DEUS,RUA DR OSCAR BITTENCOURT,8853,3843,2.3,98,395
MENINO DEUS,RUA MIGUEL COUTO,8626,2995,2.88,44,224
MENINO DEUS,RUA ITORORO,7585,4555,1.67,41,180
MENINO DEUS,RUA BECK,7571,5188,1.46,6,34
MENINO DEUS,RUA ALMIRANTE ALVARO A DA MOTTA E SILVA,7553,4401,1.72,6,37
MENINO DEUS,RUA DONA ONDINA,7311,3388,2.16,17,138
MENINO DEUS,RUA GONCALVES DIAS,7210,3825,1.88,180,1072
MENINO DEUS,RUA HUGO RIBEIRO,7126,4368,1.63,18,109
MENINO DEUS,RUA BARAO DO GUAIBA,6981,3314,2.11,27,176
MENINO DEUS,RUA BARAO DO CERRO LARGO,6849,3523,1.94,21,103
MENINO DEUS,RUA URUGUAIANA,6820,3157,2.16,22,136
MENINO DEUS,RUA SALDANHA MARINHO,6726,3640,1.85,67,402
MENINO DEUS,RUA CORREA LIMA,6696,3726,1.8,11,113
MENINO DEUS,RUA CEL ANDRE BELO,6195,3695,1.68,74,648
MENINO DEUS,RUA JOSE DE ALENCAR,6110,3237,1.89,113,685
MENINO DEUS,RUA COMENDADOR RODOLFO GOMES,6105,3775,1.62,49,435
MENINO DEUS,RUA DONA GABRIELA,5813,3347,1.74,13,93
MENINO DEUS,RUA BARAO DO GRAVATAI,5595,2831,1.98,69,566
MENINO DEUS,RUA ADRIANO RIBEIRO,5471,3574,1.53,6,32
MENINO DEUS,RUA MUCIO TEIXEIRA,5439,2960,1.84,108,643
MENINO DEUS,AVENIDA GANZO,5415,4136,1.31,64,448
MENINO DEUS,RUA RAFAEL SAADI,5365,2507,2.14,14,99
MENINO DEUS,RUA RIBEIRO CANCELA,5345,4228,1.26,18,184
MENINO DEUS,RUA SILVEIRO,5243,1989,2.64,44,323
MENINO DEUS,TRAVESSA PESQUEIRO,5212,3290,1.58,15,157
MENINO DEUS,RUA BOTAFOGO,5175,2669,1.94,134,906
MENINO DEUS,AVENIDA ERICO VERISSIMO,5146,3910,1.32,69,415
MENINO DEUS,AVENIDA PADRE CACIQUE,5122,2586,1.98,39,374
MENINO DEUS,PRAAA MENINO DEUS,5092,2551,2.0,14,161
MENINO DEUS,RUA DEZESSETE DE JUNHO,4995,3109,1.61,55,629
MENINO DEUS,RUA JOSE FRANCISCO DUARTE JUNIOR,4928,3411,1.44,21,152
MENINO DEUS,RUA VISCONDE DO HERVAL,4876,4490,1.09,68,731
MENINO DEUS,RUA PERI MACHADO,4868,2566,1.9,17,127
MENINO DEUS,AVENIDA GETULIO VARGAS,4722,2672,1.77,278,1878
MENINO DEUS,RUA GEN CALDWELL,4706,3015,1.56,47,191
MENINO DEUS,AVENIDA BASTIAN,4690,3200,1.47,45,253
MENINO DEUS,RUA BARAO DO TRIUNFO,4684,2701,1.73,55,287
MENINO DEUS,RUA GRAO PARA,4684,2878,1.63,19,168
MENINO DEUS,RUA PAES DE ANDRADE,4666,2104,2.22,4,41
MENINO DEUS,RUA CICERO AHRENDS,4624,2685,1.72,20,104
MENINO DEUS,RUA BARAO DE TEFFE,4557,2078,2.19,32,203
MENINO DEUS,TRAVESSA LA SALLE,4550,4085,1.11,3,20
MENINO DEUS,RUA MARCILIO DIAS,4412,2302,1.92,127,879
MENINO DEUS,RUA BARONEZA DO GRAVATAI,4251,2260,1.88,15,170
MENINO DEUS,AVENIDA IPIRANGA,4188,2763,1.52,38,204
MENINO DEUS,RUA BARBEDO,4165,2701,1.54,55,443
MENINO DEUS,RUA AUGUSTO MELECCHI,4162,3025,1.38,17,91
MENINO DEUS,RUA VICENTE LOPES DOS SANTOS,4141,2666,1.55,6,88
MENINO DEUS,AVENIDA AURELIANO DE FIGUEIREDO PINTO,4098,1949,2.1,11,73
MENINO DEUS,RUA ANTENOR LEMOS,3882,2247,1.73,4,66
MOINHOS VENTO,RUA LUCIANA DE ABREU,18654,5123,3.64,41,138
MOINHOS VENTO,RUA CANDIDO BATISTA DE OLIVEIRA,17556,4664,3.76,4,27
MOINHOS VENTO,RUA TOBIAS DA SILVA,16399,6270,2.62,44,110
MOINHOS VENTO,RUA MOSTARDEIRO,14055,4489,3.13,31,287
MOINHOS VENTO,RUA EUDORO BERLINK,10784,5331,2.02,8,30
MOINHOS VENTO,TRAVESSA CARMEM,10698,4931,2.17,108,218
MOINHOS VENTO,RUA MARIANTE,10419,4764,2.19,18,65
MOINHOS VENTO,RUA ENG ALVARO NUNES PEREIRA,10235,4901,2.09,21,133
MOINHOS VENTO,RUA COMENDADOR CAMINHA,10050,4281,2.35,21,112
MOINHOS VENTO,RUA BARAO DE SANTO ANGELO,9522,4603,2.07,31,168
MOINHOS VENTO,RUA SANTO INACIO,9264,5097,1.82,78,354
MOINHOS VENTO,RUA PADRE CHAGAS,8994,4595,1.96,37,137
MOINHOS VENTO,RUA TEN CEL FABRICIO PILAR,8864,5956,1.49,3,18
MOINHOS VENTO,RUA MARQUES DO HERVAL,8417,4609,1.83,43,212
MOINHOS VENTO,RUA DR FLORENCIO YGARTUA,8213,3311,2.48,18,174
MOINHOS VENTO,PRAAA DR MAURICIO CARDOSO,8206,4425,1.85,9,65
MOINHOS VENTO,RUA CEL BORDINI,8053,4269,1.89,115,384
MOINHOS VENTO,RUA FERNANDO GOMES,7516,5638,1.33,3,5
MOINHOS VENTO,RUA DR POTY MEDEIROS,7433,4239,1.75,3,28
MOINHOS VENTO,RUA JARDIM CRISTOFEL,6901,5240,1.32,18,119
MOINHOS VENTO,RUA QUINTINO BOCAIUVA,6632,4268,1.55,100,488
MOINHOS VENTO,RUA HILARIO RIBEIRO,6553,4472,1.47,26,162
MOINHOS VENTO,RUA MARQUES DO POMBAL,6543,4513,1.45,49,401
MOINHOS VENTO,RUA FELIX DA CUNHA,6234,3438,1.81,58,359
MOINHOS VENTO,RUA VINTE QUATRO DE OUTUBRO,6186,4352,1.42,122,650
MOINHOS VENTO,RUA OLAVO BARRETO VIANA,6015,4160,1.45,17,52
MOINHOS VENTO,RUA DR TIMOTEO,5996,3335,1.8,79,637
MOINHOS VENTO,RUA ENG SALDANHA,4862,4475,1.09,5,42
MOINHOS VENTO,RUA DR VALE,4860,4287,1.13,32,203
MOINHOS VENTO,RUA DINARTE RIBEIRO,4574,3571,1.28,13,115
MOINHOS VENTO,TRAVESSA ANGUSTURA,4558,3541,1.29,6,29
MOINHOS VENTO,PRAAA JULIO DE CASTILHOS,4384,3356,1.31,11,107
MOINHOS VENTO,AVENIDA MERCEDES,4357,3608,1.21,9,78
MOINHOS VENTO,RUA RAMIRO BARCELOS,4356,3338,1.3,14,97
MOINHOS VENTO,RUA VISCONDE DO RIO BRANCO,4294,3811,1.13,4,67
MOINHOS VENTO,AVENIDA CRISTOVAO COLOMBO,4037,3088,1.31,74,500
MOINHOS VENTO,RUA GEN NETO,3983,3088,1.29,53,300
MOINHOS VENTO,RUA TIRADENTES,3946,2976,1.33,11,95
MONT SERRAT,RUA FARNESE,19379,7136,2.72,19,57
MONT SERRAT,RUA TEN CEL FABRICIO PILAR,13068,4446,2.94,212,695
MONT SERRAT,RUA SILVA JARDIM,11909,4587,2.6,205,619
MONT SERRAT,RUA CAMPOS SALES,11155,5592,1.99,12,58
MONT SERRAT,RUA ARTUR ROCHA,10774,5038,2.14,138,470
MONT SERRAT,RUA PEDRO CHAVES BARCELOS,9694,4362,2.22,76,282
MONT SERRAT,RUA TITO LIVIO ZAMBECARI,9398,4810,1.95,106,584
MONT SERRAT,RUA ANTONIO PARREIRAS,9062,5912,1.53,15,134
MONT SERRAT,RUA COMENDADOR RHEINGANTZ,9046,4406,2.05,43,329
MONT SERRAT,RUA DR FREIRE ALEMAO,8731,3909,2.23,124,504
MONT SERRAT,RUA PEDRO IVO,7975,4701,1.7,64,346
MONT SERRAT,RUA RONALD DE CARVALHO,7671,5450,1.41,13,43
MONT SERRAT,RUA EUDORO BERLINK,7229,4081,1.77,50,336
MONT SERRAT,AVENIDA MARILAND,7194,4071,1.77,87,537
MONT SERRAT,RUA FURRIEL LUIZ ANTONIO DE VARGAS,7117,4639,1.53,14,99
MONT SERRAT,RUA CEL BORDINI,6783,4560,1.49,46,183
MONT SERRAT,RUA ANITA GARIBALDI,6276,4034,1.56,135,813
MONT SERRAT,AVENIDA CEL LUCAS DE OLIVEIRA,6194,4566,1.36,50,265
MONT SERRAT,RUA CARLOS TREIN FILHO,6180,4401,1.4,59,321
MONT SERRAT,AVENIDA CARLOS GOMES,5116,2924,1.75,28,205
MORRO SANTANA,RUA JOAO DALLEGRAVE,6155,2568,2.4,3,153
MORRO SANTANA,RUA JOAO DA SILVA BUENO,5386,2828,1.9,193,694
MORRO SANTANA,RUA REV DANIEL BETTS,5043,1738,2.9,7,144
MORRO SANTANA,RUA PAULO MADUREIRA COELHO,4756,2171,2.19,18,92
MORRO SANTANA,TRAVESSA ESPORTE CLUBE CRUZEIRO,4611,2447,1.88,39,191
MORRO SANTANA,AVENIDA PROTASIO ALVES,4469,2915,1.53,399,1582
