bairro,logradouro,n_transacoes,rs_m2_mediana
AZENHA,Travessa ALEXANDRINO DE ALENCAR,18,4743
AZENHA,Travessa LUIZ ROSSETTI,3,2344
AZENHA,Travessa MATO GROSSO,7,3168
BELA VISTA,Avenida CEL LUCAS DE OLIVEIRA,255,7196
BELA VISTA,Avenida DR NILO PECANHA,53,6424
BELA VISTA,Avenida MARILAND,20,8977
BELA VISTA,Avenida NEUSA GOULART BRIZOLA,13,9713
BELA VISTA,Avenida NILOPOLIS,28,6645
BELA VISTA,Pra̤a CARLOS SIMAO ARNT,3,6776
BELA VISTA,Rua AMELIA TELES,22,5672
BELA VISTA,Rua ANTONIO PARREIRAS,32,14456
BELA VISTA,Rua ARTUR ROCHA,12,11378
BELA VISTA,Rua BARAO DE UBA,160,8396
BELA VISTA,Rua CABRAL,32,6140
BELA VISTA,Rua CARLOS GARDEL,15,7621
BELA VISTA,Rua CARLOS TREIN FILHO,17,7405
BELA VISTA,Rua CARVALHO MONTEIRO,10,8914
BELA VISTA,Rua CASEMIRO DE ABREU,49,8735
BELA VISTA,Rua CEL BORDINI,32,15746
BELA VISTA,Rua CIRO GAVIAO,8,6807
BELA VISTA,Rua COMENDADOR RHEINGANTZ,4,18049
BELA VISTA,Rua DES MORENO LOUREIRO LIMA,12,7688
BELA VISTA,Rua DR TAUPHICK SAADI,45,7537
BELA VISTA,Rua ENG ADOLFO STERN,51,9953
BELA VISTA,Rua ENG AFONSO CAVALCANTI,22,12179
BELA VISTA,Rua ENG ANTONIO REBOUCAS,8,13400
BELA VISTA,Rua ENG EWBANK CAMARA,8,8182
BELA VISTA,Rua ENG OLAVO NUNES,41,8456
BELA VISTA,Rua ENG TEIXEIRA SOARES,30,13151
BELA VISTA,Rua ENG VERISSIMO DE MATOS,37,13529
BELA VISTA,Rua FARNESE,17,20148
BELA VISTA,Rua GEN OSCAR MIRANDA,8,8137
BELA VISTA,Rua JARAGUA,71,8638
BELA VISTA,Rua PASSO DA PATRIA,50,8384
BELA VISTA,Rua PEDRO CHAVES BARCELOS,44,11154
BELA VISTA,Rua PEDRO IVO,11,8097
BELA VISTA,Rua REGENTE,10,7098
BELA VISTA,Rua SILVA JARDIM,9,7765
BELA VISTA,Rua VICENTE DA FONTOURA,45,5371
BELA VISTA,Travessa FARROUPILHA,3,6867
BELEM NOVO,Avenida DES MELO GUIMARAES,4,3172
BELEM NOVO,Avenida HEITOR VIEIRA,3,5726
BELEM NOVO,Avenida INACIO ANTONIO DA SILVA,4,2985
BELEM NOVO,Avenida JUCA BATISTA,141,6226
BELEM NOVO,Estrada FRANCISCA DE OLIVEIRA VIEIRA,6,2758
BELEM NOVO,Rua ASSOCIACAO ATLETICA TRIENON,8,1815
BELEM NOVO,Rua EUSTAQUIO INACIO DA SILVEIRA,8,3230
BELEM NOVO,Rua FLORENCIO FARIA,6,3545
BELEM NOVO,Rua JORGE MELLO GUIMARAES,12,3185
BELEM NOVO,Rua PODALIRIO TEIXEIRA MACHADO,7,2386
BELEM VELHO,Estrada AFONSO LOURENCO MARIANTE,5,1927
BELEM VELHO,Estrada DAS TRES MENINAS,38,7224
BELEM VELHO,Rua JOAO DO COUTO,4,5198
BOA VISTA,AL AFONSO CELSO,4,6570
BOA VISTA,AL RAIMUNDO CORREA,4,7295
BOA VISTA,AL VICENTE DE CARVALHO,20,8455
BOA VISTA,Alameda AFONSO CELSO,4,6761
BOA VISTA,Alameda RAIMUNDO CORREA,5,6997
BOA VISTA,Alameda VICENTE DE CARVALHO,12,8639
BOA VISTA,Avenida ALVARENGA,8,4441
BOA VISTA,Avenida CARLOS GOMES,21,5882
BOA VISTA,Avenida DR NILO PECANHA,83,16301
BOA VISTA,Avenida ENG ALFREDO CORREA DAUDT,11,5797
BOA VISTA,Avenida FRANCISCO PETUCO,92,8026
BOA VISTA,Avenida JOAO WALLIG,27,7412
BOA VISTA,Avenida MARECHAL ANDREA,5,5359
BOA VISTA,Rua AFONSO TAUNAY,44,5630
BOA VISTA,Rua ALCIDES GONZAGA,11,9458
BOA VISTA,Rua ANITA GARIBALDI,442,10730
BOA VISTA,Rua ATANASIO BELMONTE,30,5359
BOA VISTA,Rua CAMPOS SALES,11,11815
BOA VISTA,Rua DR GUIMARAES ROSA,7,5898
BOA VISTA,Rua DR PAULO FRANCO DOS REIS,3,5238
BOA VISTA,Rua ELY COSTA,4,4034
BOA VISTA,Rua ENG EDMUNDO GARDOLINSKI,3,5832
BOA VISTA,Rua FREI HENRIQUE GOLLAND TRINDADE O F M,5,6523
BOA VISTA,Rua GEN IBA MESQUITA ILHA MOREIRA,26,7547
BOA VISTA,Rua GREGOR MENDEL,3,6130
BOA VISTA,Rua INACIO VASCONCELOS,13,9821
BOA VISTA,Rua LIBERO BADARO,39,9087
BOA VISTA,Rua LUIS LUZ,233,12111
BOA VISTA,Rua MARTIM ARANHA,28,8132
BOA VISTA,Rua QUATORZE DE JULHO,21,6406
BOA VISTA,Rua TOMAZ GONZAGA,20,6193
BOM FIM,Avenida CAUDURO,26,4000
BOM FIM,Avenida OSVALDO ARANHA,142,4754
BOM FIM,Rua ANTAO DE FARIAS,11,4222
BOM FIM,Rua BENTO FIGUEIREDO,11,5504
BOM FIM,Rua CASTRO ALVES,39,7624
BOM FIM,Rua DR BARROS CASSAL,74,5968
BOM FIM,Rua FELIPE CAMARAO,183,5384
BOM FIM,Rua FERNANDES VIEIRA,130,5366
BOM FIM,Rua GARIBALDI,108,5793
BOM FIM,Rua GEN JOAO TELLES,170,5679
BOM FIM,Rua HENRIQUE DIAS,36,6680
BOM FIM,Rua IRMAO JOSE OTAO,32,8466
BOM FIM,Rua RAMIRO BARCELOS,91,5708
BOM FIM,Rua SANTO ANTONIO,97,5256
BOM FIM,Rua SARMENTO LEITE,13,3590
BOM FIM,Rua TOMAZ FLORES,54,5490
BOM FIM,Rua VASCO DA GAMA,28,6357
BOM JESUS,Avenida JORDAO,16,4609
BOM JESUS,Avenida PROTASIO ALVES,64,3819
BOM JESUS,Rua ALFREDO FERREIRA RODRIGUES,9,3910
BOM JESUS,Rua BOM JESUS,4,3859
BOM JESUS,Rua CARUMBE,44,4690
BOM JESUS,Rua CEL ANTENOR AMORIM,3,2652
BOM JESUS,Rua DA  PASCOA,5,3077
BOM JESUS,Rua DR MURTINHO,10,3280
BOM JESUS,Rua DR SINVAL SALDANHA,6,2465
BOM JESUS,Rua MANUEL XAVIER,8,2483
