bairro,logradouro,n_transacoes,rs_m2_mediana
CRISTAL,Rua ITAPITOCAI,11,4912
CRISTAL,Rua JAGUARI,188,6030
CRISTAL,Rua JATAI,152,6812
CRISTAL,Rua SALVIO SOARES,6,2964
CRISTAL,Rua SAO SEBASTIAO DO CAI,10,2655
CRISTAL,Rua TAMANDARE,58,4257
CRISTAL,Rua TAQUARY,69,3790
CRISTAL,Rua UPAMAROTI,46,3335
CRISTAL,Rua URSA MAIOR,3,6685
CRISTAL,Rua WALDEMAR GONCALVES PIRES,4,4835
CRISTO REDENTOR,Avenida ASSIS BRASIL,23,3137
CRISTO REDENTOR,Avenida BERNARDI,24,4087
CRISTO REDENTOR,Avenida DO  FORTE,78,3910
CRISTO REDENTOR,Avenida FRANCISCO TREIN,136,7148
CRISTO REDENTOR,Rua ADAO BAINO,125,4060
CRISTO REDENTOR,Rua ALBERTO SILVA,117,7426
CRISTO REDENTOR,Rua ALVARES CABRAL,30,3743
CRISTO REDENTOR,Rua AMARAGI,11,4435
CRISTO REDENTOR,Rua AMOROSO COSTA,22,3839
CRISTO REDENTOR,Rua ANTONIO JOAQUIM MESQUITA,73,6383
CRISTO REDENTOR,Rua CARLOS SILVEIRA MARTINS PACHECO,66,6078
CRISTO REDENTOR,Rua COMENDADOR ALBINO CUNHA,20,5050
CRISTO REDENTOR,Rua DOM DIOGO DE SOUZA,81,4039
CRISTO REDENTOR,Rua DOMINGOS MARTINS,49,4964
CRISTO REDENTOR,Rua DOMINGOS RUBBO,49,4072
CRISTO REDENTOR,Rua EDMUNDO BASTIAN,52,3656
CRISTO REDENTOR,Rua ELIZIARIO GOULART DA SILVA,6,3352
CRISTO REDENTOR,Rua ENES BANDEIRA,3,3148
CRISTO REDENTOR,Rua ESTACIO PESSOA,4,4049
CRISTO REDENTOR,Rua EUGENIO DU PASQUIER,7,5361
CRISTO REDENTOR,Rua FERNANDO ABBOTT,22,4156
CRISTO REDENTOR,Rua FERNANDO CORTEZ,86,6508
CRISTO REDENTOR,Rua FONTOURA XAVIER,3,5358
CRISTO REDENTOR,Rua IRENE CAPPONI SANTIAGO,12,5810
CRISTO REDENTOR,Rua JAU,9,3910
CRISTO REDENTOR,Rua JAVARI,14,3527
CRISTO REDENTOR,Rua JOAO ZANENGA,15,5111
CRISTO REDENTOR,Rua LIMOEIRO,40,6542
CRISTO REDENTOR,Rua MARCO POLO,40,5398
CRISTO REDENTOR,Rua MARECHAL FROTA,21,5138
CRISTO REDENTOR,Rua POTENGI,6,3652
CRISTO REDENTOR,Rua SAPE,194,7178
CRISTO REDENTOR,Rua UMBU,6,3748
CRISTO REDENTOR,Rua VISCONDE DE MACAE,7,2711
CRISTO REDENTOR,Rua ZECA NETO,3,3660
CRISTO REDENTOR,Travessa AMERICO SILVEIRA,42,4052
CRISTO REDENTOR,Travessa PROF EMETERIO GARCIA FERNANDEZ,14,4019
ESPIRITO SANTO,Avenida DA  SERRARIA,5,2674
ESPIRITO SANTO,Avenida DR FRANCISCO ROBERTO DALL''IGNA,5,3171
ESPIRITO SANTO,Avenida LEONARDO CARLUCCI,3,2667
ESPIRITO SANTO,Rua CIRINO PRUNES,6,3183
ESPIRITO SANTO,Rua CLAUDIO DA SILVA PINTO,16,3299
ESPIRITO SANTO,Rua DARCY FAGUNDES,3,2574
ESPIRITO SANTO,Rua DOS CAIAGUAIS,4,3168
ESPIRITO SANTO,Rua DOS CARIJOS,3,5571
ESPIRITO SANTO,Rua DOS GUARANIS,8,2938
ESPIRITO SANTO,Rua DOS GUENOAS,8,2362
ESPIRITO SANTO,Rua DOS TAPUIAS,3,3195
ESPIRITO SANTO,Rua GIORGIO NEGRONI,7,2760
ESPIRITO SANTO,Rua GUANANAS,3,5573
ESPIRITO SANTO,Rua ITALO BRUTTO,10,3377
ESPIRITO SANTO,Rua MURA,27,3124
ESPIRITO SANTO,Rua ODILSON RODRIGUES BARBOZA,3,3331
ESPIRITO SANTO,Rua OLEGARIO DIAS MACIEL,4,2344
ESPIRITO SANTO,Rua PAULO DERLY STREHL,4,4111
ESPIRITO SANTO,Rua PROF ANTONIO JOSE REMIAO,19,3440
ESPIRITO SANTO,Rua PROF THEREZA NORONHA,18,2680
ESPIRITO SANTO,Rua VICTOR ISSLER,3,2577
FARRAPOS,Avenida A J RENNER,90,3693
FARRAPOS,Avenida PADRE LEOPOLDO BRENTANO,3,3418
FARRAPOS,Rua ADELINO MACHADO DE SOUZA,6,1865
FARRAPOS,Rua AIRTON FERREIRA DA SILVA,72,5529
FARRAPOS,Rua ANSELMO MANZOLI FILHO,11,2084
FARRAPOS,Rua ARNO KAPPEL,6,2778
FARRAPOS,Rua BAMBAS DA ORGIA,5,2381
FARRAPOS,Rua BATTISTINO ANELE,27,3604
FARRAPOS,Rua BERTHOLDO MARIO THEBICH,49,3750
FARRAPOS,Rua DR WALDEMAR NESTROVSKI,4,2776
FARRAPOS,Rua FREDERICO MENTZ,5,1945
FARRAPOS,Rua GEN MARCOS KRUCHIN,3,1529
FARRAPOS,Rua GRACIANO CAMOZZATO,11,3509
FARRAPOS,Rua IRMA MARIA JOSE TREVISAN,10,3714
FARRAPOS,Rua JAYME TOLPOLAR,8,2159
FARRAPOS,Rua JOAO JOSE DOS SANTOS,3,2892
FARRAPOS,Rua JOAO PEREIRA LOPES,4,2053
FARRAPOS,Rua JOAQUIM AMERICO MAGADAN,4,1819
FARRAPOS,Rua LUIZ CARLOS PINHEIRO CABRAL,7,1688
FARRAPOS,Rua PEDRO ANSELMO SOSTER,3,1942
FARRAPOS,Rua PM PAULO ELCY DE FREITAS,3,1840
FARRAPOS,Rua ROSA BRUFATTO ZINGANO,4,1618
FARRAPOS,Rua SERGIO PORTO,5,1999
FARRAPOS,Rua VICTOR ELY VON FRANKENBERG,5,4322
FARROUPILHA,Avenida JOAO PESSOA,3,4597
FARROUPILHA,Avenida JOSE BONIFACIO,24,5078
FARROUPILHA,Avenida VENANCIO AIRES,33,4581
FARROUPILHA,Rua SANTANA,7,4859
FARROUPILHA,Travessa PAZ,12,6002
FLORESTA,Avenida ALBERTO BINS,39,5340
FLORESTA,Avenida BENJAMIN CONSTANT,44,8528
FLORESTA,Avenida CHICAGO,16,4155
FLORESTA,Avenida CRISTOVAO COLOMBO,145,4167
FLORESTA,Avenida FARRAPOS,104,3355
FLORESTA,Avenida PARANA,10,4288
FLORESTA,Avenida PERNAMBUCO,8,3018
FLORESTA,Rua ALMIRANTE BARROSO,23,7065
FLORESTA,Rua ALMIRANTE TAMANDARE,5,2380
FLORESTA,Rua ALVARO CHAVES,15,2810
FLORESTA,Rua CANCIO GOMES,16,3484
FLORESTA,Rua COMENDADOR AZEVEDO,18,3697
FLORESTA,Rua COMENDADOR CORUJA,8,4530
FLORESTA,Rua CONDE DE PORTO ALEGRE,46,3853
FLORESTA,Rua DO  PARQUE,4,2550
FLORESTA,Rua DR TIMOTEO,10,5683
FLORESTA,Rua ERNESTO ALVES,33,3449
FLORESTA,Rua FELIX DA CUNHA,21,3547
FLORESTA,Rua GARIBALDI,8,9701
FLORESTA,Rua GASPAR MARTINS,10,2095
FLORESTA,Rua HOFFMANN,25,4174
FLORESTA,Rua OLINDA,18,4274
FLORESTA,Rua PELOTAS,21,4306
FLORESTA,Rua RAMIRO BARCELOS,126,2071
FLORESTA,Rua SANTA RITA,15,3915
FLORESTA,Rua SANTOS DUMONT,13,3019
FLORESTA,Rua SAO CARLOS,24,3149
FLORESTA,Rua SETE DE ABRIL,28,3937
FLORESTA,Rua TRES DE MAIO,10,3907
FLORESTA,Rua VISCONDE DO RIO BRANCO,32,3372
FLORESTA,Travessa AZEVEDO,12,2956
GLORIA,Avenida CEL APARICIO BORGES,81,6029
GLORIA,Avenida PROF OSCAR PEREIRA,38,4004
GLORIA,Avenida SERGIPE,10,3040
GLORIA,Estrada DOS ALPES,9,1961
GLORIA,Rua CAMPOS ELISEOS,7,4114
GLORIA,Rua CEL LEONARDO RIBEIRO,8,3404
GLORIA,Rua COMENDADOR ANTONIO FONTOURA,4,2195
GLORIA,Rua DA  GRUTA,3,3213
GLORIA,Rua DOM JOAO VI,5,1635
GLORIA,Rua DOM VITAL,61,4878
GLORIA,Rua DOMICIO DA GAMA,5,2340
GLORIA,Rua GEN JONATHAS BORGES FORTES,19,3678
GLORIA,Rua INTENDENTE ALFREDO AZEVEDO,250,5894
GLORIA,Rua LUIZA ROCCO,14,9047
GLORIA,Rua MADRE ANA,7,3854
GLORIA,Rua MANDUCA NUNES,3,3293
GLORIA,Rua MANDUCA RODRIGUES,4,2455
GLORIA,Rua NOSSA SENHORA DAS GRACAS,5,3442
GLORIA,Rua NUNES,9,3135
GLORIA,Rua PADRE TESCHAUER,3,2456
GLORIA,Rua PEDRO BOTICARIO,19,3285
GLORIA,Rua PEDRO MOACYR,4,2647
GLORIA,Rua PROF CARVALHO FREITAS,13,3276
GLORIA,Rua PROF DEMOPHILO XAVIER,7,3000
GLORIA,Rua SANTIAGO DANTAS,6,2755
GUARUJA,Avenida DA  SERRARIA,23,2986
GUARUJA,Avenida GUARUJA,8,2327
GUARUJA,Rua AGENOR MENDES OURIQUES,12,2505
GUARUJA,Rua ANCARA,4,3229
GUARUJA,Rua CARLOS FREDERICO ALBERS,4,4308
GUARUJA,Rua CLAUDIO DA SILVA PINTO,5,3254
GUARUJA,Rua CONEGO ALEIXO,5,4691
GUARUJA,Rua CRICIUMA,6,2747
GUARUJA,Rua DOS GUENOAS,10,2534
GUARUJA,Rua DR CLAUDIO WALTER FERREIRA DA SILVA,8,2821
GUARUJA,Rua DR SADY SOARES,5,3556
GUARUJA,Rua DR SERGIO DE FIGUEIREDO,4,3696
GUARUJA,Rua FABIO COELHO DE MAGALHAES,4,2570
GUARUJA,Rua HEITOR KRAMER,29,3595
GUARUJA,Rua HELIO FELIX FREY,4,3205
GUARUJA,Rua HENRIQUE ANAWATE,4,3676
GUARUJA,Rua ILARI ARLINDO BASEI,5,3494
GUARUJA,Rua ITACYR ROSSI,6,2957
GUARUJA,Rua JACIPUIA,5,2276
GUARUJA,Rua JACUNDA,31,2956
GUARUJA,Rua LUIS FELIPE MONMANY,3,3018
GUARUJA,Rua MANOEL FERNANDES,7,3178
GUARUJA,Rua MANOEL NUNES DA SILVA,7,3316
GUARUJA,Rua MOACYR GODOY ILHA,12,3475
GUARUJA,Rua MURA,11,4167
GUARUJA,Rua NESTOR JOSE NITSCHKE,6,3628
GUARUJA,Rua OSORIO MENDES OURIQUES,14,2219
GUARUJA,Rua URUSSANGA,3,2797
GUARUJA,Rua WALDEMAR DA SILVA TAVARES,3,3740
HIGIENOPOLIS,Avenida AUGUSTO MEYER,3,5449
HIGIENOPOLIS,Avenida CRISTOVAO COLOMBO,64,6441
HIGIENOPOLIS,Avenida PLINIO BRASIL MILANO,17,9780
HIGIENOPOLIS,Rua AMERICO VESPUCIO,22,4215
HIGIENOPOLIS,Rua ARI MARINHO,28,4523
HIGIENOPOLIS,Rua CARLOS VON KOSERITZ,46,6507
HIGIENOPOLIS,Rua CEL CAMISAO,20,8938
HIGIENOPOLIS,Rua CEL FEIJO,107,6020
HIGIENOPOLIS,Rua CEL MANOEL PY,14,4762
HIGIENOPOLIS,Rua CORCOVADO,6,6318
HIGIENOPOLIS,Rua DOM PEDRO II,21,4232
HIGIENOPOLIS,Rua DR EDUARDO CHARTIER,51,7121
HIGIENOPOLIS,Rua FELICISSIMO DE AZEVEDO,64,5247
HIGIENOPOLIS,Rua GEN COUTO DE MAGALHAES,46,6567
HIGIENOPOLIS,Rua GERMANO PETERSEN JUNIOR,6,11670
HIGIENOPOLIS,Rua HONORIO SILVEIRA DIAS,38,6485
HIGIENOPOLIS,Rua LUZITANA,83,5507
HIGIENOPOLIS,Rua MARCELO GAMA,20,5949
HIGIENOPOLIS,Rua MARQUES DO POMBAL,8,7154
HIGIENOPOLIS,Rua PORTUGAL,104,4627
HIGIENOPOLIS,Rua SAO FRANCISCO DA CALIFORNIA,11,5781
HIGIENOPOLIS,Travessa AURELIO PORTO,7,4426
HIGIENOPOLIS,Travessa CUNHA VASCONCELOS,4,7614
HIGIENOPOLIS,Travessa JUNDIAI,24,6023
HIGIENOPOLIS,Travessa SAO JACO,6,4516
HIGIENOPOLIS,Travessa SUL,9,4520
HIPICA,Avenida CARLOS MAXIMILIANO FAYET,65,5005
HIPICA,Avenida EDGAR PIRES DE CASTRO,165,2272
HIPICA,Avenida JUCA BATISTA,60,4332
HIPICA,Avenida NOSSA SENHORA DE GUADALUPE,45,3962
HIPICA,Estrada COSTA GAMA,13,5833
HIPICA,Estrada GEDEON LEITE,18,4072
HIPICA,Rua ADAIR MARTINELLI,12,4866
HIPICA,Rua ADALBERTO GARCIA,3,5525
HIPICA,Rua AFFONSO LUNARDELLI,4,3024
HIPICA,Rua ALAMO,10,3939
HIPICA,Rua ALDO SANI,6,4941
HIPICA,Rua ALEXANDRE DE GUSMAO,11,4978
HIPICA,Rua AMONI,4,3563
HIPICA,Rua ANGICO,4,5862
HIPICA,Rua ANTONIA ZARDIN PERONDI,4,4143
HIPICA,Rua ANTONIO JORGE DA SILVA,6,4121
HIPICA,Rua ANTONIO RIBEIRO MESSIAS,7,4179
HIPICA,Rua ATTILIO MARIN,3,5119
HIPICA,Rua AZISE PEDRO FALCAO,4,2761
HIPICA,Rua BALDOINO BOTTINI,29,3293
HIPICA,Rua BERNARDO PROFES,3,4336
HIPICA,Rua CANISIO BINSFELD,15,4403
HIPICA,Rua CARLOS EDUARDO DE SA,14,2594
HIPICA,Rua CARLOS WILSON SCHRODER,5,3833
HIPICA,Rua CATARINA QUADROS,3,4310
HIPICA,Rua CINCO MIL CENTO DEZESSETE,237,5628
HIPICA,Rua CONSTANTINO FERNANDO ONORATO BOTTIN,12,3101
HIPICA,Rua CORTICEIRA,22,3760
HIPICA,Rua DARCY DE BASTOS GERMANN,3,5064
HIPICA,Rua DO  SCHNEIDER,12,3065
HIPICA,Rua DOM ANTONIO CHEUICHE,4,5335
HIPICA,Rua DORIVAL CASTILHO MACHADO,166,3804
HIPICA,Rua DORIVAL LEIVAS,4,2716
HIPICA,Rua DR ANTONIO MAZZAFERRO NETO,9,2720
HIPICA,Rua DR CARLOS DE SA,5,3426
HIPICA,Rua DR RAPHAEL LORO,21,4807
HIPICA,Rua EDGAR SANCHES LAURENT,3,2520
HIPICA,Rua ELAINE JUCHEM SELISTRE,11,4284
HIPICA,Rua ELMO BORN,8,3397
HIPICA,Rua ELVIRA DENDENA,16,4515
HIPICA,Rua EMBIRA,51,4776
HIPICA,Rua ENIO BERWANGER,4,4967
HIPICA,Rua ENIO MELO,3,2391
HIPICA,Rua ERNANI BEHS,6,4866
HIPICA,Rua ERONI SOARES MACHADO,48,5039
HIPICA,Rua EVA PINTO,6,4943
HIPICA,Rua EVA VARGAS SOARES,3,3431
HIPICA,Rua FABIANA KILA DE AVILA,8,4834
HIPICA,Rua FELIPE ARISIO,6,4772
HIPICA,Rua FERNANDO JORGE SCHNEIDER,19,4097
HIPICA,Rua FRANCESCO ROSITO,24,4562
HIPICA,Rua FRANCISCA PREZZI BOLOGNESI,18,4084
HIPICA,Rua FRANCISCO SOLANO BORGES,51,4539
HIPICA,Rua FULVIO BASTOS,8,2504
HIPICA,Rua GERMANO BONOW FILHO,6,3016
HIPICA,Rua GUATAMBU,30,3625
HIPICA,Rua HERMINIO BITTENCOURT-TIO BITENCA,7,3130
HIPICA,Rua HESIODO ANDRADE,3,1511
HIPICA,Rua HILARIO GONCALVES PINHA,5,2729
HIPICA,Rua IRANY DE OLIVEIRA SANT''ANNA,7,5563
HIPICA,Rua IRMAO ELVO CLEMENTE,6,5153
HIPICA,Rua IRMAO FIRMINO BIAZUS,7,5443
HIPICA,Rua IRMAO MAINAR LONGHI,6,5153
HIPICA,Rua IVO WALTER KERN,22,4426
HIPICA,Rua IZAR FARIA CORREA SANT''ANNA,8,3150
HIPICA,Rua JEAN VARDARAMATOS,21,4721
HIPICA,Rua JESIEL IOMAR BAUMGARTEN,9,3110
HIPICA,Rua JOAO COSTI,5,2000
HIPICA,Rua JOAO PINHEIRO MACHADO,7,5055
HIPICA,Rua JOSE AFFONSO ELY,6,3305
HIPICA,Rua JOSE BRAULIO DA FONSECA,7,3356
HIPICA,Rua JOSE CARLOS BOHNE,10,5451
HIPICA,Rua JOSE CELESTINO DA SILVA,28,5731
HIPICA,Rua JOSE IUCHNO,361,3547
HIPICA,Rua JOSE JULIO KREBS,3,2222
HIPICA,Rua JOSE OSCAR ALVES,11,4958
HIPICA,Rua JOÃO OTTO PAIVA,3,5387
HIPICA,Rua JULIO RIBEIRO DE CASTILHOS,5,4123
HIPICA,Rua LUCINDO ANTONIO BOTTIN,10,5197
HIPICA,Rua LUZINETE ALVES ARAGON,12,3640
HIPICA,Rua MANACA,3,4857
HIPICA,Rua MANOEL BRAGA GASTAL,6,4042
HIPICA,Rua MARCELO KUFNER,5,4076
HIPICA,Rua MARIA LOURDES WILLMS,4,2527
HIPICA,Rua MARIO ANDREAZZA,4,4613
HIPICA,Rua MICHAEL MOTTA SEELIG,6,3334
HIPICA,Rua NEI REMEDI,10,3709
HIPICA,Rua NEWTON SILVEIRA NETTO,8,6292
HIPICA,Rua NORIVAL PARANAGUA DE ANDRADE,7,2976
HIPICA,Rua OSCAR ANTUNES DE OLIVEIRA,7,2297
HIPICA,Rua PADRE ARTHUR MORSCH,9,4825
HIPICA,Rua PADRE HENRIQUE PAUQUET,4,5870
HIPICA,Rua PADRE ROBERTO LANDELL DE MOURA,5,3283
HIPICA,Rua PADRE VALERIO ALBERTON,9,4960
HIPICA,Rua PAU-BRASIL,31,4135
HIPICA,Rua PAULO JOSE RODRIGUES,4,5208
HIPICA,Rua PAULO ROGERIO AMORETTY SOUZA,5,3962
HIPICA,Rua PAULO STUART WRIGHT,3,3440
HIPICA,Rua PEDRO FARIA,27,4832
HIPICA,Rua PLINIO ANELE,7,4447
HIPICA,Rua RAUL SILVA GUDOLLE,12,3787
HIPICA,Rua ROBERTO SANTINI,10,3853
HIPICA,Rua RODOLPHO ESPINOZA,8,2472
HIPICA,Rua RUDY THOMAZ BOLOGNESI,10,5211
HIPICA,Rua RUTH TOTTA,15,5162
HIPICA,Rua SAMUEL WAINSTEIN,3,5031
HIPICA,Rua SANTOS ZOTTIS,8,2409
HIPICA,Rua SAY MARQUES,5,3000
HIPICA,Rua SENO ANTONIO CORNELY,12,4910
HIPICA,Rua SERGIO STIMAMILIO,119,4178
HIPICA,Rua SETE MIL DUZENTOS DOIS,4,5906
HIPICA,Rua SILVESTRE SAUTER,8,4841
HIPICA,Rua TAPERA,3,2740
HIPICA,Rua VACARIA,11,3576
HIPICA,Rua WILSON CONCEICAO BONA,9,4336
HIPICA,Rua WILSON LUIZ DE ALMEIDA,11,4807
HIPICA,Rua ZUZU ANGEL,8,4269
HUMAITA,Avenida AMYNTHAS JACQUES DE MORAES,33,2898
HUMAITA,Avenida CLOVIS PAIM GRIVOT,84,3042
HUMAITA,Avenida ERNESTO NEUGEBAUER,365,5596
HUMAITA,Avenida JOSE ALOISIO FILHO,253,4217
HUMAITA,Avenida PALMIRA GOBBI,256,3045
HUMAITA,Avenida PERNAMBUCO,4,6500
HUMAITA,Rua DONA TEODORA,4,2606
HUMAITA,Rua DR CAIO BRANDAO DE MELLO,44,3427
HUMAITA,Rua ENG ALEXANDRE MARTINS DA ROSA,99,2900
HUMAITA,Rua IRMAO FELIX ROBERTO (ROBERTAO),134,3937
HUMAITA,Rua MAX JUNIMAN,96,3224
HUMAITA,Rua PROF JOAO DE SOUZA RIBEIRO,117,2969
HUMAITA,Rua WALTER FERREIRA,30,3237
INDEPENDENCIA,Avenida ALBERTO BINS,16,3182
INDEPENDENCIA,Avenida CRISTOVAO COLOMBO,67,5119
INDEPENDENCIA,Avenida INDEPENDENCIA,290,6051
INDEPENDENCIA,Rua ANDRE PUENTE,54,5409
INDEPENDENCIA,Rua CASTRO ALVES,8,5100
INDEPENDENCIA,Rua DR BARROS CASSAL,37,4480
INDEPENDENCIA,Rua GARIBALDI,34,4976
INDEPENDENCIA,Rua GEN JOAO TELLES,8,7638
INDEPENDENCIA,Rua GONCALO DE CARVALHO,40,4766
INDEPENDENCIA,Rua PINHEIRO MACHADO,13,4860
INDEPENDENCIA,Rua RAMIRO BARCELOS,35,4710
INDEPENDENCIA,Rua SANTO ANTONIO,106,4891
INDEPENDENCIA,Rua TIRADENTES,6,5316
INDEPENDENCIA,Rua TOMAZ FLORES,14,7207
IPANEMA,Avenida CEL MARCOS,25,7991
IPANEMA,Avenida DA  CAVALHADA,69,4430
IPANEMA,Avenida EDUARDO PRADO,16,2863
IPANEMA,Avenida FLAMENGO,9,3339
IPANEMA,Avenida GUAIBA,4,4211
IPANEMA,Avenida IMPERIAL,16,3403
IPANEMA,Avenida JUCA BATISTA,128,4136
IPANEMA,Avenida SAUL NONNENMACHER,4,3934
IPANEMA,Avenida TRAMANDAI,12,4322
IPANEMA,Avenida VEREADOR ROBERTO LANDELL DE MOURA,6,2481
IPANEMA,Estrada CAMPO NOVO,562,4831
IPANEMA,Rua ADAO PINHEIRO DA SILVA,22,3887
IPANEMA,Rua ARMANDO CZAMANSKI,8,3132
IPANEMA,Rua ATLANTIDA,4,2870
IPANEMA,Rua BENJAMIM MORESCO,4,2644
IPANEMA,Rua BRENO MARTINS,3,3252
IPANEMA,Rua CAPAO DA CANOA,7,3075
IPANEMA,Rua CARLOS NOBRE (JOSE E VILLALOBOS JR ),3,3065
IPANEMA,Rua COMENDADOR CASTRO,13,3680
IPANEMA,Rua CONSELHEIRO XAVIER DA COSTA,15,4007
IPANEMA,Rua DAS LARANJEIRAS,4,5006
IPANEMA,Rua DEA COUFAL,83,3739
IPANEMA,Rua DIONELIO MACHADO,5,3141
IPANEMA,Rua DONA ELVIRA,11,3109
IPANEMA,Rua DR DAVID DE AZEVEDO GUSMAO,6,3181
IPANEMA,Rua DR EGON RENNER,5,4315
IPANEMA,Rua DR EGYDIO MICHAELSEN,3,2307
IPANEMA,Rua DR FRANCISCO DA CUNHA CORREA,3,3125
IPANEMA,Rua DR JOAO PALOMBINI,3,2749
IPANEMA,Rua DR MARINO DOS SANTOS,5,2402
IPANEMA,Rua DR MIGUEL VIEIRA FERREIRA,7,3375
IPANEMA,Rua DR PIO ANGELO,7,2575
IPANEMA,Rua DR PITREZ,23,2604
IPANEMA,Rua EDILSON JOAO PROLA,6,3541
IPANEMA,Rua ENG COELHO PARREIRA,6,3720
IPANEMA,Rua ENG JORGE PORTO,4,3329
IPANEMA,Rua ENG RENATO COSTA LEITE,3,2987
IPANEMA,Rua ENG TITO MARQUES FERNANDES,4,3990
IPANEMA,Rua FERNANDO BORBA,4,3176
IPANEMA,Rua FERNANDO CUNHA,5,3542
IPANEMA,Rua FRANCISCO BORTOLUZZI,15,3490
IPANEMA,Rua GAVEA,6,2771
IPANEMA,Rua HUBERT OTTO KRAUSE,4,2454
IPANEMA,Rua IMERAM TEIXEIRA CABELEIRA,8,2472
IPANEMA,Rua JACAREI,9,7777
IPANEMA,Rua JAIR DE MOURA CALIXTO,5,2185
IPANEMA,Rua LADISLAU NETO,12,3342
IPANEMA,Rua LEME,18,3464
IPANEMA,Rua LIANE ALVES,6,3466
IPANEMA,Rua MAMPITUBA,9,3406
IPANEMA,Rua MORRO ALTO,7,1999
IPANEMA,Rua OTELO ROSA,15,3763
IPANEMA,Rua PASTEUR,14,4494
IPANEMA,Rua RIMOLO BIAGIO,4,3814
IPANEMA,Rua RODONEL GUATIMOZIM,4,3585
IPANEMA,Rua SINAI,28,5985
IPANEMA,Rua TIAGO,6,5263
IPANEMA,Travessa ALFREDO MAGALHAES,4,3090
JAR LEOPOLDINA,Avenida BALTAZAR DE OLIVEIRA GARCIA,55,3269
JAR LEOPOLDINA,Avenida JUSCELINO KUBITSCHEK DE OLIVEIRA,310,3401
JAR LEOPOLDINA,Rua ADA VAZ CABEDA,121,3986
JAR LEOPOLDINA,Rua CARLOS ESTEVAO,366,2826
JAR LEOPOLDINA,Rua DR ARON MENDA,42,2697
JAR LEOPOLDINA,Rua DR CARLOS MARIA BINS,58,2810
JAR LEOPOLDINA,Rua DR ROMAGUERA DA CUNHA CORREA,19,3057
JAR LEOPOLDINA,Rua DR VARGAS NETO,97,2625
JAR LEOPOLDINA,Rua GERMANO BASLER,119,3662
JAR LEOPOLDINA,Rua GOLDA MEIR,128,2938
JAR LEOPOLDINA,Rua HERMETO BERMUDEZ,37,2921
JAR LEOPOLDINA,Rua JANDYR MAYA FAILLACE,82,2638
JAR LEOPOLDINA,Rua JOSE ERNESTO NEDEL,7,2908
JAR LEOPOLDINA,Rua JOSE PEREIRA DE BORBA,3,3281
JAR LEOPOLDINA,Rua LEDO GUIMARAES MARIANTE,4,3214
JAR LEOPOLDINA,Rua LYDIA MOSCHETTI,11,2769
JAR LEOPOLDINA,Rua MARECHAL FRANCISCO ANTONIO BITENCOURT,25,3021
JAR LEOPOLDINA,Rua ORLANDO AITA,18,2490
JAR LEOPOLDINA,Rua OSWALDO PETERSEN PAIVA,4,3263
JAR LEOPOLDINA,Rua POA-CIDADE JOIA,22,5000
JAR LEOPOLDINA,Rua PROF AMY HERVE RAMIREZ,44,3094
JAR LEOPOLDINA,Rua PROF PONTES DE MIRANDA,18,3073
JAR LEOPOLDINA,Rua PROF ZILAH TOTTA,27,3234
JAR LEOPOLDINA,Rua RUBEN BERTA,15,2722
JAR LEOPOLDINA,Rua SARGENTO SILVIO DELMAR HOLLENBACH,54,3212
JAR LEOPOLDINA,Rua TEN ALBERTO MENDES JUNIOR,3,3568
JAR LEOPOLDINA,Rua VEREADOR TEREZIO MEIRELES,9,2672
JAR LEOPOLDINA,Rua VICENTE MARSIGLIA FILHO,3,2745
JAR LEOPOLDINA,Travessa GAETANO CELIA,32,2577
JAR SAO PEDRO,Avenida ASSIS BRASIL,12,3151
JAR SAO PEDRO,Avenida CARNEIRO DA FONTOURA,10,2796
JAR SAO PEDRO,Avenida MARQUES DE SOUZA,7,4108
JAR SAO PEDRO,Avenida PAUL ZIVI,3,3676
JAR SAO PEDRO,Rua BARAO DE ITAQUI,9,3659
JAR SAO PEDRO,Rua BRITO PEIXOTO,6,6317
JAR SAO PEDRO,Rua CATAO ROXO,3,3432
JAR SAO PEDRO,Rua COMENDADOR DUVAL,3,2750
JAR SAO PEDRO,Rua DA  VARZEA,15,3902
JAR SAO PEDRO,Rua DOMINGOS MARTINS,13,3112
JAR SAO PEDRO,Rua DOS TAPAJOS,16,4265
JAR SAO PEDRO,Rua ENES BANDEIRA,26,4022
JAR SAO PEDRO,Rua ENG RYFF,4,3746
JAR SAO PEDRO,Rua FERNANDO ABBOTT,5,6132
JAR SAO PEDRO,Rua ITARARE,16,3960
JAR SAO PEDRO,Rua JORGE SALIS GOULART,3,2792
JAR SAO PEDRO,Rua JURUA,31,3610
JAR SAO PEDRO,Rua PADRE HENRIQUE LENZ,6,3166
JAR SAO PEDRO,Rua PEREIRA PINTO,12,3279
JAR SAO PEDRO,Rua RICALDE MARQUES,8,4565
JAR SAO PEDRO,Rua TUPINAMBA,32,4037
JARDIM BOTANICO,Avenida IPIRANGA,20,3626
JARDIM BOTANICO,Rua AFONSO RODRIGUES,33,5609
JARDIM BOTANICO,Rua BARAO DO AMAZONAS,84,4122
JARDIM BOTANICO,Rua BUENOS AIRES,62,5151
JARDIM BOTANICO,Rua CERVANTES,19,6970
JARDIM BOTANICO,Rua CHILE,78,6400
JARDIM BOTANICO,Rua DONA INOCENCIA,18,5327
JARDIM BOTANICO,Rua DR SALVADOR FRANCA,32,4343
JARDIM BOTANICO,Rua FELIZARDO,27,8318
